SpeciesID,howComm,Genus,Species,FBname,direction
Fis-149592,1.12,Trimma,anaima,Pallid pygmygoby,lost
Fis-163774,1.12,Hyporthodus,acanthistius,Rooster hind,lost
Fis-171712,1.12,Pseudobatos,glaucostigmus,Speckled guitarfish,lost
Fis-23341,1.12,Anchoa,argentivittata,Regan's anchovy,lost
Fis-24133,1.12,Mustelus,henlei,Brown smooth-hound,lost
Fis-24489,1.12,Chaetodipterus,zonatus,Pacific spadefish,lost
Fis-24542,1.12,Dormitator,latifrons,Pacific fat sleeper,lost
Fis-25000,1.12,Sphoeroides,lobatus,Longnose puffer,lost
Fis-26938,1.12,Hypsoblennius,brevipinnis,Barnaclebill blenny,lost
Fis-28934,1.12,Rhynchoconger,nitens,Bignose conger,lost
Fis-29758,1.12,Caranx,caballus,Green jack,lost
Fis-30328,1.12,Mycteroperca,xenarcha,Broomtail grouper,lost
Fis-35536,1.12,Rhinoptera,steindachneri,Pacific cownose ray,lost
Fis-35764,1.12,Pontinus,furcirhinus,NA,lost
Fis-35775,1.12,Diplectrum,euryplectrum,Bighead sand perch,lost
Fis-35785,1.12,Prionotus,albirostris,Whitesnout searobin,lost
ITS-96897,1.12,Lysmata,californica,red rock shrimp,lost
SLB-118391,1.12,Hippa,adactyla,turtle crab,lost
SLB-182809,1.12,Holothuria,inornata,NA,lost
SLB-189205,1.12,Gnathophyllum,panamense,NA,lost
SLB-69079,1.12,Lithophaga,plumula,feather datemussel,lost
W-Bch-1061764,1.12,Portunus,xantusii,Xantus swimcrab,lost
W-Bch-442766,1.12,Callinectes,arcuatus,arched swimming crab,lost
W-Ech-513138,1.12,Astropyga,pulvinata,NA,lost
W-Hol-529000,1.12,Psolus,diomedeae,NA,lost
W-Msc-504259,1.12,Anomia,peruviana,Peruvian jingle,lost
W-Msc-504514,1.12,Glycymeris,gigantea,NA,lost
W-Msc-505495,1.12,Limaria,hemphilli,hemphill fileclam,lost
W-Msc-506028,1.12,Gregariella,coarctata,cancellate mussel,lost
W-Msc-507052,1.12,Isognomon,recognitus,purple purse-oyster,lost
W-Msc-507065,1.12,Atrina,tuberculosa,tuberculate pen shell,lost
W-Oph-242685,1.12,Amphiodia,violacea,NA,lost
W-Pol-332560,1.12,Thelepus,crispus,terebellid worm,lost
W-Pol-334731,1.12,Schistomeringos,longicornis,NA,lost
Fis-149728,1.11,Ostorhinchus,endekataenia,Candystripe cardinalfish,lost
Fis-23800,1.11,Scomberoides,tol,Needlescaled queenfish,lost
Fis-163002,1.1099999999999999,Hydrolagus,melanophasma,Eastern Pacific Black Ghostshark,lost
ITS-612309,1.1099999999999999,Palaemonella,crosnieri,NA,lost
SLB-131901,1.1099999999999999,Microdictyon,boergesenii,green net alga,lost
Fis-113923,1.1,Ctenogobius,sagittula,Longtail goby,lost
Fis-139596,1.1,Typhlonus,nasus,NA,lost
Fis-149820,1.1,Peristedion,paucibarbiger,NA,lost
Fis-22779,1.1,Lutjanus,guttatus,Spotted rose snapper,lost
Fis-23671,1.1,Oligoplites,altus,Longjaw leatherjacket,lost
Fis-24464,1.1,Bellator,xenisma,Splitnose searobin,lost
ITS-553008,1.1,Evibacus,princeps,shield fan lobster,lost
SLB-102208,1.1,Squilla,bigelowi,NA,lost
W-Msc-341942,1.1,Octopus,alecto,snakearm octopus,lost
W-Msc-344358,1.1,Gadila,perpusilla,NA,lost
W-Msc-344552,1.1,Tesseracme,quadrangularis,NA,lost
W-Msc-426359,1.1,Conus,archon,NA,lost
W-Pol-195989,1.1,Salvatoria,limbata,NA,lost
W-Pyc-239456,1.1,Callipallene,californiensis,NA,lost
SLB-119122,1.09,Eumunida,keijii,black-lipped pika,lost
SLB-184619,1.09,Pelamis,platura,pelagic sea snake,lost
SLB-2116,1.09,Glycera,rouxi,NA,lost
Fis-35340,1.0899999999999999,Trimma,tevegae,Tevegae pygmygoby,lost
Fis-30195,1.08,Lepidopus,fitchi,Pacific scabbardfish,lost
SLB-103653,1.08,Retusa,paziana,NA,lost
W-Ech-513150,1.08,Brissopsis,pacifica,Pacific heart urchin,lost
W-Pol-130644,1.08,Eumida,sanguinea,blood-colored phyllodocid worm,lost
Fis-24921,1.07,Pseudupeneus,grandisquamis,Bigscale goatfish,lost
Fis-26477,1.07,Solenostomus,paradoxus,Harlequin ghost pipefish,lost
Fis-26829,1.07,Pisodonophis,cancrivorus,Longfin snake-eel,lost
Fis-27224,1.07,Pristis,pristis,Common sawfish,lost
Fis-31834,1.07,Centropomus,medius,Blackfin snook,lost
Fis-35611,1.07,Anisotremus,taeniatus,Panama porkfish,lost
W-Msc-581743,1.07,Astralium,confragosum,NA,lost
Fis-27070,1.06,Strophidon,sathete,Slender giant moray,lost
ITS-659836,1.06,Stenopus,pyrsonotus,flameback coral shrimp,lost
SLB-190276,1.06,Munida,armilla,NA,lost
W-Msc-511644,1.06,Pyrene,obtusa,NA,lost
W-Msc-550396,1.06,Onychoteuthis,prolata,NA,lost
Fis-27587,1.05,Oxyurichthys,tentacularis,NA,lost
SLB-142481,1.05,Caulerpa,lentillifera,Small seagrape,lost
W-Bch-208855,1.05,Thalamita,auauensis,NA,lost
W-Msc-216256,1.05,Nerita,undata,waved nerite,lost
W-Scy-291140,1.05,Stomolophus,meleagris,cannonball jellyfish,lost
Fis-132413,1.04,Erotelis,armiger,Flathead sleeper,lost
Fis-24999,1.04,Sphoeroides,annulatus,Bullseye puffer,lost
Fis-26914,1.04,Pseudobalistes,naufragium,Stone triggerfish,lost
Fis-28956,1.04,Haemulopsis,leuciscus,Raucous grunt,lost
Fis-29006,1.04,Apterichtus,equatorialis,Equatorial eel,lost
Fis-29441,1.04,Lutjanus,novemfasciatus,Pacific dog snapper,lost
Fis-29513,1.04,Scomberomorus,sierra,Pacific sierra,lost
Fis-29766,1.04,Caranx,sexfasciatus,Bigeye trevally,lost
Fis-35619,1.04,Eucinostomus,currani,Pacific flagfin mojarra,lost
Fis-35690,1.04,Syacium,latifrons,Beach flounder,lost
Fis-35756,1.04,Sphoeroides,sechurae,Peruvian puffer,lost
SLB-129823,1.04,Heteronida,aspinirostris,NA,lost
SLB-93676,1.04,Philinopsis,orientalis,NA,lost
W-Bra-235453,1.04,Liothyrella,moseleyi,NA,lost
W-Cha-266888,1.04,Zonosagitta,pulchra,NA,lost
W-Hyd-117824,1.04,Plumularia,setacea,little seabristle,lost
W-Msc-344271,1.04,Cadulus,californicus,California toothshell,lost
W-Msc-428244,1.04,Conus,poormani,NA,lost
W-Msc-464493,1.04,Pinctada,mazatlanica,Mazatlan pearl oyster,lost
W-Msc-464505,1.04,Pteria,sterna,Pacific wing-oyster,lost
W-Oph-243468,1.04,Ophiactis,simplex,NA,lost
W-Scy-135282,1.04,Atolla,wyvillei,Wyville's crownjelly,lost
Fis-22747,1.03,Cetorhinus,maximus,Basking shark,lost
Fis-22817,1.03,Sarda,orientalis,Striped bonito,lost
Fis-23277,1.03,Sphyrna,zygaena,Smooth hammerhead,lost
Fis-32380,1.03,Periophthalmus,argentilineatus,Barred mudskipper,lost
Fis-32628,1.03,Apogon,semiornatus,Oblique-banded cardinalfish,lost
ITS-660202,1.03,Pygmaeopagurus,hadrochirus,NA,lost
W-Pol-332992,1.03,Aphelochaeta,multifilis,NA,lost
W-Pyc-240169,1.03,Anoplodactylus,erectus,NA,lost
Fis-23347,1.02,Anchoa,exigua,Slender anchovy,lost
Fis-23613,1.02,Lutjanus,aratus,Mullet snapper,lost
Fis-23681,1.02,Opisthonema,libertate,Pacific thread herring,lost
Fis-24228,1.02,Ophichthus,zophochir,Yellow snake eel,lost
Fis-30439,1.02,Opisthonema,medirastre,Middling thread herring,lost
Fis-35643,1.02,Physiculus,nematopus,Charcoal mora,lost
Fis-35751,1.02,Synodus,sechurae,Sechura lizardfish,lost
Fis-62914,1.02,Haemulon,scudderii,Grey grunt,lost
SLB-154772,1.02,Alpheus,felgenhaueri,NA,lost
SLB-80351,1.02,Rhabdus,dalli,dall tuskshell,lost
W-Ase-292851,1.02,Astropecten,armatus,spiny sand star,lost
W-Msc-344129,1.02,Dentalium,agassizi,NA,lost
W-Msc-394270,1.02,Argopecten,ventricosus,Pacific calico scallop,lost
Fis-24410,1.01,Aluterus,scriptus,Scribbled leatherjacket filefish,lost
Fis-28965,1.01,Pomadasys,panamensis,Panama grunt,lost
W-Bch-441927,1.01,Oncinopus,araneus,NA,lost
W-Msc-216300,1.01,Euchelus,atratus,blackish margarite,lost
Fis-21827,1,Scarus,flavipectoralis,Yellowfin parrotfish,lost
Fis-22208,1,Seriola,rivoliana,Longfin yellowtail,lost
Fis-28533,1,Stegastes,redemptus,Clarion major,lost
Fis-32462,1,Eviota,sparsa,Speckled dwarfgoby,lost
Fis-26427,0.86,Bryaninops,erythrops,Erythrops goby,lost
Fis-115656,0.84,Koumansetta,rainfordi,Old glory,lost
Fis-147799,0.84,Photoblepharon,palpebratum,Eyelight fish,lost
Fis-32289,0.63,Muraenichthys,schultzei,Maimed snake eel,lost
Fis-25953,0.61,Ctenochaetus,marginatus,Striped-fin surgeonfish,lost
Fis-168751,0.6,Taeniamia,biguttata,Twinspot cardinalfish,lost
Fis-26473,0.6,Stenatherina,panatela,Panatella silverside,lost
Fis-31537,0.6,Gymnapogon,urospilotus,B-spot cardinalfish,lost
SLB-190484,0.6,Stylodactylus,libratus,NA,lost
SLB-130155,0.59,Uroptychus,soyomaruae,NA,lost
Fis-25839,0.58,Dendrochirus,biocellatus,Twospot turkeyfish,lost
Fis-26453,0.58,Vanderhorstia,ambanoro,Ambanoro prawn-goby,lost
Fis-32549,0.58,Chromis,verater,Threespot chromis,lost
W-Msc-342303,0.58,Enoploteuthis,reticulata,NA,lost
Fis-25769,0.57,Chrysiptera,caeruleolineata,Blueline demoiselle,lost
Fis-31173,0.57,Chromis,elerae,Twinspot chromis,lost
Fis-26734,0.56,Sargocentron,xantherythrum,Hawaiian squirrelfish,lost
Fis-47531,0.56,Oxycheilinus,arenatus,Speckled maori wrasse,lost
Fis-55830,0.56,Chascanopsetta,crumenalis,NA,lost
W-Pyc-239560,0.56,Anoropallene,laysani,NA,lost
SLB-157904,0.55,Cerithium,alveolus,NA,lost
W-Bch-440879,0.55,Parapilumnus,cristimanus,NA,lost
Fis-123153,0.54,Chlorurus,perspicillatus,Spectacled parrotfish,lost
Fis-148610,0.54,Itycirrhitus,wilhelmi,Wilhelm's hawkfish,lost
Fis-17303,0.54,Apolemichthys,arcuatus,Bandit angelfish,lost
Fis-21839,0.54,Scarus,dubius,Regal parrot,lost
Fis-25350,0.54,Pseudojuloides,cerasinus,Smalltail wrasse,lost
Fis-26688,0.54,Thalassoma,ballieui,Blacktail wrasse,lost
Fis-26713,0.54,Plagiotremus,ewaensis,Ewa blenny,lost
Fis-30934,0.54,Pseudamia,hayashii,Hayashi's cardinalfish,lost
Fis-32547,0.54,Dascyllus,albisella,Hawaiian dascyllus,lost
W-Msc-507050,0.54,Isognomon,incisum,NA,lost
Fis-35786,0.53,Prionotus,birostratus,Two-beaked searobin,lost
Fis-127548,0.52,Caracanthus,typicus,Hawaiian orbicular velvetfish,lost
Fis-161629,0.52,Parapercis,xanthogramma,NA,lost
Fis-26706,0.52,Chromis,ovalis,Hawaiian chromis,lost
Fis-26714,0.52,Plagiotremus,goslinei,Biting blenny,lost
Fis-31911,0.52,Scorpaenopsis,cacopsis,Jenkin's scorpionfish,lost
Fis-32393,0.52,Hemiramphus,depauperatus,Tropical half-beak fish,lost
Fis-32546,0.52,Centropyge,potteri,Russet angelfish,lost
Fis-32548,0.52,Chromis,hanui,Chocolate-dip Chromis,lost
Fis-32554,0.52,Coris,venusta,Elegant coris,lost
Fis-32681,0.52,Chromis,iomelas,Half-and-half chromis,lost
W-Hol-208945,0.52,Actinopyga,obesa,plump sea cucumber,lost
W-Msc-506000,0.52,Choromytilus,palliopunctatus,pinpricked mussel,lost
Fis-113951,0.51,Microgobius,cyclolepis,Roundscale goby,lost
Fis-139428,0.51,Saccopharynx,lavenbergi,NA,lost
Fis-145536,0.51,Clarkichthys,bilineatus,Flagtail wormfish,lost
Fis-28978,0.51,Lophiodes,caulinaris,Spottedtail angler,lost
Fis-31486,0.51,Chromis,delta,Deep reef chromis,lost
Fis-31825,0.51,Sphyraena,ensis,Mexican barracuda,lost
ITS-682586,0.51,Busquilla,plantei,NA,lost
SLB-69256,0.51,Portlandia,intermedia,intermediate yoldia,lost
W-Bch-209047,0.51,Paractaea,retusa,NA,lost
W-Pol-130707,0.51,Pisione,remota,NA,lost
W-Scl-135168,0.51,Solenosmilia,variabilis,deepwater branching coral,lost
ITS-99169,0.5,Cloridopsis,dubia,NA,lost
SLB-111191,0.5,Exogone,occidentalis,NA,lost
SLB-146083,0.5,Turbinaria,conoides,Sea bell,lost
SLB-64873,0.5,Tridentata,marginata,NA,lost
W-Amp-146922,0.5,Melita,nitida,NA,lost
W-Hyd-196554,0.5,Chelophyes,contorta,NA,lost
W-Pol-130404,0.5,Nereis,pelagica,NA,lost
W-Pol-329802,0.5,Nicomache,antillensis,NA,lost
W-Pyc-240357,0.5,Tanystylum,duospinum,NA,lost
Fis-27304,46.98,Dolichopteryx,longipes,Brownsnout spookfish,intro
Fis-28170,46.56,Valenciennellus,tripunctulatus,Constellationfish,intro
Fis-30987,41.67,Myctophum,nitidulum,Pearly lanternfish,intro
Fis-34702,11.67,Bathophilus,flemingi,Highfin dragonfish,intro
Fis-34849,10.64,Aristostomias,xenostoma,NA,intro
ITS-96028,2.48,Sicyonia,brevirostris,brown rock shrimp,intro
SLB-170315,2.05,Nupalirus,vericeli,Polynesian furrow lobster,intro
SLB-117995,1.8199999999999998,Coenobita,brevimanus,land hermit crabs,intro
W-Msc-419766,1.25,Sigatica,carolinensis,Carolina moonsnail,intro
Fis-35449,1.02,Hoplolatilus,marcosi,Redback sand tilefish,intro
W-Msc-413432,0.66,Turbo,setosus,rough turban,intro
Fis-26512,0.65,Epinephelus,socialis,Surge grouper,intro
W-Msc-160193,0.62,Caecum,cooperi,Cooper's Atlantic caecum,intro
W-Msc-419588,0.57,Caecum,floridanum,Florida caecum,intro
W-Bch-442236,0.56,Thyrolambrus,efflorescens,NA,intro
Fis-31443,0.55,Chaetodon,reticulatus,Mailed butterflyfish,intro
W-Msc-420607,0.53,Dendrodoris,krebsii,nero porostome,intro
