SpeciesID,howComm,Genus,Species,FBname,direction
Fis-29507,1.75,Scomber,japonicus,Chub mackerel,lost
Fis-29391,1.4200000000000002,Euthynnus,lineatus,Black skipjack,lost
Fis-29513,1.08,Scomberomorus,sierra,Pacific sierra,lost
Fis-29506,0.83,Scomber,australasicus,Blue mackerel,lost
