SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family
Fis-145718,59708,Hippocampus,grandiceps,Big-head seahorse,14,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae
Fis-145729,59712,Priolepis,profunda,Narrowbar reefgoby,29,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-145821,59743,Paraclinus,rubicundus,,11,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae
Fis-145838,59750,Upeneus,australiae,Australian goatfish,68,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae
Fis-173103,59756,Verilus,pseudomicrolepis,,45,Animalia,Chordata,Actinopterygii,Perciformes,Acropomatidae
Fis-145862,59757,Chaunax,breviradius,,36,Animalia,Chordata,Actinopterygii,Lophiiformes,Chaunacidae
Fis-145889,59765,Foa,hyalina,Hyaline cardinalfish,10,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-170310,59776,Apogonichthyoides,cathetogramma,,17,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-160987,59777,Nectamia,fusca,Ghost cardinalfish,211,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-11870,59779,Fowleria,isostigma,Dotted cardinalfish,112,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-165256,59784,Eugnathogobius,mindora,Stripe-face Calamiana,22,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-145980,59785,Schismatogobius,insignus,,12,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-146027,59789,Labrisomus,cricota,Mock blenny,19,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae
Fis-21671,59805,Plectranthias,kamii,,28,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-146072,59809,Eustomias,bibulbosus,,19,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-146076,59812,Eustomias,bibulboides,,10,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-146077,59813,Eustomias,micraster,,11,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-146137,59839,Karsten,totoyensis,,11,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-52372,59840,Ophichthus,macrochir,Bigfin snake eel,13,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae
Fis-146157,59842,Halosaurus,ridgwayi,,10,Animalia,Chordata,Actinopterygii,Notacanthiformes,Halosauridae
Fis-146211,59865,Caragobius,rubristriatus,Red eelgoby,33,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-146231,59869,Gobiodon,unicolor,Unicolor coralgoby,40,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-146243,59873,Pseudogobius,melanostictus,,18,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-146251,59876,Gnatholepis,gymnocara,Nakedcheek sandgoby,13,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-146270,59880,Cirrhilabrus,bathyphilus,Deepwater wrasse,13,Animalia,Chordata,Actinopterygii,Perciformes,Labridae
Fis-146292,59897,Mugilogobius,littoralis,Beachrock mangrovegoby,15,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-146297,59902,Malakichthys,levis,Smooth seabass,11,Animalia,Chordata,Actinopterygii,Perciformes,Acropomatidae
Fis-146298,59903,Malakichthys,mochizuki,Mochizuki's seabass,14,Animalia,Chordata,Actinopterygii,Perciformes,Acropomatidae
Fis-146346,59923,Sueviota,aprica,Sunny dwarfgoby,15,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-146347,59924,Sueviota,atrinasa,Blacknose dwarfgoby,35,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-146366,59936,Ichthyococcus,parini,,18,Animalia,Chordata,Actinopterygii,Stomiiformes,Phosichthyidae
Fis-146372,59942,Scopelarchus,stephensi,,29,Animalia,Chordata,Actinopterygii,Aulopiformes,Scopelarchidae
Fis-146400,59956,Asterropteryx,atripes,Yano’s starry goby,11,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-146474,59990,Mugilogobius,platystomus,Indonesian goby,22,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-159781,60005,Neoarius,pectoralis,Sawspine catfish,10,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae
Fis-159682,60007,Amissidens,hainesi,Ridged catfish,20,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae
Fis-146554,60028,Artediellus,fuscimentus,,10,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae
Fis-146555,60029,Chimaera,lignaria,Carpenter's chimaera,126,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae
Fis-146557,60030,Hydrolagus,bemisi,,489,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae
Fis-146573,60037,Etmopterus,evansi,,11,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae
Fis-146598,60052,Apogon,indicus,Indian cardinalfish,58,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-146600,60053,Apogon,susanae,,34,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-146607,60055,Hydrolagus,trolli,Pointy-nosed blue chimaera,94,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae
Fis-146727,60074,Naso,elegans,Elegant unicornfish,70,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae
Fis-146734,60076,Naso,tonganus,Bulbnose unicornfish,149,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae
Fis-146741,60078,Diagramma,melanacrum,Blackfin slatey,13,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae
Fis-146748,60082,Entomacrodus,macrospilus,Bigspot rockskipper,10,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae
Fis-146756,60087,Synchiropus,australis,Queensland bigeye dragonet,10,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae
Fis-146765,60093,Callionymus,tethys,Tethys dragonet,15,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae
Fis-17028,60241,Pempheris,otaitensis,,19,Animalia,Chordata,Actinopterygii,Perciformes,Pempheridae
Fis-147633,60268,Scopelosaurus,adleri,,32,Animalia,Chordata,Actinopterygii,Aulopiformes,Notosudidae
Fis-147667,60274,Scorpaenodes,quadrispinosus,Fourspine scorpionfish,15,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae
Fis-147679,60280,Eustomias,hypopsilus,,16,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-147696,60287,Eustomias,macrophthalmus,,17,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-147698,60289,Eustomias,variabilis,,16,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-147762,60305,Trinectes,xanthurus,,21,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Achiridae
Fis-166688,60321,Fowlerichthys,scriptissimus,,13,Animalia,Chordata,Actinopterygii,Lophiiformes,Antennariidae
Fis-147871,60329,Hippocampus,denise,Denise's pygmy seahorse,42,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae
Fis-147872,60330,Channichthys,velifer,Sail icefish,17,Animalia,Chordata,Actinopterygii,Perciformes,Channichthyidae
Fis-147919,60348,Apogon,gouldi,Deepwater cardinalfish,13,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-147924,60353,Apogon,posterofasciatus,Rearbar cardinalfish,12,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-167294,60354,Ostorhinchus,monospilus,Moluccen cardinal,26,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-147930,60358,Archamia,bleekeri,Gon's cardinalfish,45,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-163617,60362,Apogonichthyoides,pharaonis,,10,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-167817,60363,Ostorhinchus,spilurus,,14,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-147939,60364,Apogon,dianthus,,24,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-163621,60368,Apogonichthyoides,sialis,Twinbar cardinalfish,13,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-163609,60369,Apogonichthyoides,atripes,Bulls-eye cardinalfish,83,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-170301,60376,Jaydia,striatodes,,16,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-170289,60377,Jaydia,catalai,,12,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-148031,60408,Ctenotrypauchen,chinensis,,19,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-5683,60479,Chlorurus,microrhinos,Steephead parrots,329,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae
Fis-148250,60494,Urophycis,mystacea,,58,Animalia,Chordata,Actinopterygii,Gadiformes,Phycidae
Fis-155323,60495,Peristedion,altipinne,,17,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Peristediidae
Fis-148344,60519,Argentina,georgei,Blackbelly Argentine,42,Animalia,Chordata,Actinopterygii,Osmeriformes,Argentinidae
Fis-148345,60520,Argentina,stewarti,,20,Animalia,Chordata,Actinopterygii,Osmeriformes,Argentinidae
Fis-148350,60524,Glossanodon,danieli,,10,Animalia,Chordata,Actinopterygii,Osmeriformes,Argentinidae
Fis-148363,60529,Anotopterus,nikparini,North Pacific daggertooth,24,Animalia,Chordata,Actinopterygii,Aulopiformes,Anotopteridae
Fis-158437,60531,Engyprosopon,annulatus,,12,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae
Fis-148379,60536,Pomadasys,auritus,Longhead grunt,13,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae
Fis-148380,60537,Callionymus,afilum,Northern Australian longtail dragonet,49,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae
Fis-148460,60556,Foetorepus,dagmarae,Dagmar’s dragonet,24,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae
Fis-148419,60557,Synchiropus,claudiae,Claudia's dragonet,13,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae
Fis-148498,60570,Psenopsis,humerosa,Blackspot butterfish,201,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae
Fis-148500,60572,Schedophilus,griseolineatus,,51,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae
Fis-148572,60583,Prognathodes,brasiliensis,,11,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae
Fis-148578,60586,Cryodraco,atkinsoni,,11,Animalia,Chordata,Actinopterygii,Perciformes,Channichthyidae
Fis-148634,60608,Chlopsis,apterus,Stripesnout false moray,25,Animalia,Chordata,Actinopterygii,Anguilliformes,Chlopsidae
Fis-148649,60612,Gnathophis,castlei,Castle's conger,13,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae
Fis-148650,60613,Gnathophis,grahami,Graham's conger,16,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae
Fis-148656,60618,Gnathophis,nasutus,,15,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae
Fis-148657,60619,Bathycongrus,odontostomus,Toothy conger,34,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae
Fis-148816,60669,Eumicrotremus,asperrimus,,71,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae
Fis-148850,60681,Dactyloscopus,amnis,Riverine stargazer,20,Animalia,Chordata,Actinopterygii,Perciformes,Dactyloscopidae
Fis-156277,60685,Dactyloscopus,fimbriatus,,17,Animalia,Chordata,Actinopterygii,Perciformes,Dactyloscopidae
Fis-148861,60690,Prognichthys,glaphyrae,Gyre flyingfish,15,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae
Fis-148863,60691,Prognichthys,occidentalis,,79,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae
Fis-148871,60695,Exocoetus,peruvianus,,12,Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae
Fis-148889,60703,Brinkmannella,elongata,,12,Animalia,Chordata,Actinopterygii,Perciformes,Epigonidae
Fis-148900,60707,Tomicodon,reitzae,,22,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae
Fis-148964,60741,Chlorophthalmus,atlanticus,Atlantic greeneye,70,Animalia,Chordata,Actinopterygii,Aulopiformes,Chlorophthalmidae
Fis-148982,60748,Kuhlia,xenura,,10,Animalia,Chordata,Actinopterygii,Perciformes,Kuhliidae
Fis-148999,60750,Kuhlia,petiti,,11,Animalia,Chordata,Actinopterygii,Perciformes,Kuhliidae
Fis-149060,60777,Himantolophus,paucifilosus,,13,Animalia,Chordata,Actinopterygii,Lophiiformes,Himantolophidae
Fis-149098,60801,Pentapodus,aureofasciatus,Yellowstripe threadfin bream,66,Animalia,Chordata,Actinopterygii,Perciformes,Nemipteridae
Fis-149105,60805,Chlorophthalmus,chalybeius,,22,Animalia,Chordata,Actinopterygii,Aulopiformes,Chlorophthalmidae
Fis-149111,60809,Clepticus,brasiliensis,,20,Animalia,Chordata,Actinopterygii,Perciformes,Labridae
Fis-149134,60813,Cheilinus,abudjubbe,,23,Animalia,Chordata,Actinopterygii,Perciformes,Labridae
Fis-149136,60815,Cirrhilabrus,solorensis,Red-eye wrasse,27,Animalia,Chordata,Actinopterygii,Perciformes,Labridae
Fis-119162,60816,Coris,ballieui,,17,Animalia,Chordata,Actinopterygii,Perciformes,Labridae
Fis-149153,60820,Bodianus,flavipinnis,Yellowfin pigfish,32,Animalia,Chordata,Actinopterygii,Perciformes,Labridae
Fis-149158,60823,Bodianus,flavifrons,Masked pigfish,18,Animalia,Chordata,Actinopterygii,Perciformes,Labridae
Fis-149204,60849,Parupeneus,insularis,Twosaddle goatfish,105,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae
Fis-149221,60857,Merluccius,hernandezi,Cortez hake,14,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae
Fis-149223,60859,Ptereleotris,randalli,Brazilian dartfish,17,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae
Fis-149230,60863,Microdesmus,suttkusi,Spotside wormfish,11,Animalia,Chordata,Actinopterygii,Perciformes,Microdesmidae
Fis-149263,60885,Gephyroberyx,japonicus,Big roughy,16,Animalia,Chordata,Actinopterygii,Beryciformes,Trachichthyidae
Fis-149275,60894,Physiculus,karrerae,,16,Animalia,Chordata,Actinopterygii,Gadiformes,Moridae
Fis-149430,60910,Upeneus,mascareinsis,Mascarene goatfish,21,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae
Fis-149432,60911,Parupeneus,procerigena,,13,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae
Fis-149440,60915,Upeneus,filifer,Pennant goatfish,59,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae
Fis-149445,60917,Gavialiceps,javanicus,Duckbill conger,15,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenesocidae
Fis-149450,60919,Upeneichthys,vlamingii,Bluespotted goatfish,223,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae
Fis-149457,60922,Diaphus,kapalae,Kapala lanternfish,35,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-149460,60925,Nannobrachium,crypticum,,61,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-149461,60926,Nannobrachium,gibbsi,,19,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-149462,60927,Nannobrachium,hawaiiensis,,20,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-149463,60928,Nannobrachium,indicum,,21,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-149464,60929,Nannobrachium,phyllisae,,34,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-149465,60930,Nannobrachium,wisneri,,52,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-149475,60935,Diaphus,lobatus,,14,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-149476,60936,Diaphus,arabicus,,29,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-149478,60938,Triphoturus,oculeum,,21,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-173402,60941,Narcinops,lasti,Western numbfish,26,Animalia,Chordata,Elasmobranchii,Torpediniformes,Narcinidae
Fis-149496,60947,Parupeneus,crassilabris,,147,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae
Fis-149567,60991,Maurolicus,amethystinopunctatus,,21,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae
Fis-149568,60992,Maurolicus,japonicus,North Pacific lightfish,27,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae
Fis-149572,60994,Dolichopteryx,parini,Winged spookfish,18,Animalia,Chordata,Actinopterygii,Osmeriformes,Opisthoproctidae
Fis-149580,61001,Microchirus,azevia,,27,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae
Fis-149590,61007,Amblyeleotris,rubrimarginata,Redmargin shrimpgoby,30,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149592,61008,Trimma,anaima,Pallid pygmygoby,67,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149594,61010,Trimma,halonevum,Pimple pygmygoby,37,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149595,61011,Trimma,milta,Red-earth pygmygoby,61,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149598,61014,Trimma,woutsi,Wouter's pygmygoby,11,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149599,61015,Trimmatom,pharus,Lifehouse dwarfgoby,21,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149603,61019,Bollmannia,litura,Citrine goby,27,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149610,61024,Drombus,halei,Hale's drombus,20,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149612,61025,Gobiopsis,exigua,,14,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149614,61027,Oxyurichthys,cornutus,Horned tentacle goby,24,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149616,61029,Lobulogobius,morrigu,Seapen goby,10,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149619,61031,Halichoeres,brasiliensis,Brazilian wrasse,26,Animalia,Chordata,Actinopterygii,Perciformes,Labridae
Fis-149621,61032,Bathygobius,hongkongensis,,26,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149624,61035,Eviota,mikiae,Miki's dwarfgoby,19,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-149669,61055,Dibranchus,nasutus,,14,Animalia,Chordata,Actinopterygii,Lophiiformes,Ogcocephalidae
Fis-149743,61068,Amblyglyphidodon,indicus,Maldives damselfish,50,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae
Fis-149749,61074,Pomacentrus,callainus,,19,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae
Fis-149750,61075,Pomacentrus,spilotoceps,,15,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae
Fis-149772,61081,Pomacentrus,limosus,Muddy damsel,17,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae
Fis-149779,61088,Pseudoplesiops,immaculatus,Immaculate dottyback,44,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae
Fis-149796,61093,Parapercis,striolata,,27,Animalia,Chordata,Actinopterygii,Perciformes,Pinguipedidae
Fis-149807,61097,Parapercis,binivirgata,Redbanded weever,37,Animalia,Chordata,Actinopterygii,Perciformes,Pinguipedidae
Fis-149811,61099,Onigocia,bimaculata,Two-spotted flathead,35,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae
Fis-149813,61101,Sparisoma,frondosum,,32,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae
Fis-149817,61102,Peristedion,antillarum,Longnose armoured searobin,23,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Peristediidae
Fis-149818,61103,Peristedion,greyae,,124,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Peristediidae
Fis-149854,61110,Paraulopus,okamurai,Piedtip cucumberfish,25,Animalia,Chordata,Actinopterygii,Aulopiformes,Paraulopidae
Fis-149891,61122,Eustomias,vulgaris,Common dragonfish,11,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-149908,61130,Eustomias,cryptobulbus,Hiddenbulb dragonfish,23,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-149947,61143,Eustomias,radicifilis,,10,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-150169,61187,Chrionema,squamentum,,25,Animalia,Chordata,Actinopterygii,Perciformes,Percophidae
Fis-150173,61189,Benthenchelys,indicus,,14,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae
Fis-150213,61201,Canthigaster,figueiredoi,Southern Atlantic sharpnose-puffer,21,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae
Fis-150216,61202,Canthigaster,jamestyleri,Goldface toby,16,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae
Fis-150238,61209,Scopelarchoides,kreffti,Twin-striped pearleye,16,Animalia,Chordata,Actinopterygii,Aulopiformes,Scopelarchidae
Fis-150243,61212,Canthigaster,capistrata,Macaronesian sharpnose-puffer,20,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae
Fis-150286,61222,Salarias,sexfilum,Spalding's blenny,11,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae
Fis-150312,61240,Hypleurochilus,caudovittatus,Zebratail blenny,14,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae
Fis-150314,61241,Hypleurochilus,pseudoaequipinnis,,17,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae
Fis-150365,61249,Hypoplectrodes,cardinalis,Red seaperch,10,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-150366,61250,Lepidoperca,filamenta,Western orange perch,17,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-150373,61254,Caprodon,krasyukovae,Krasyukova's perch,11,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-150394,61262,Bathyanthias,cubensis,,57,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-150406,61265,Lepidoperca,aurantia,New Zealand orange perch,132,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-150446,61270,Liopropoma,longilepis,Scalyfin basslet,11,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-150465,61273,Serranus,heterurus,,14,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae
Fis-150499,61281,Hippocampus,queenslandicus,Queensland seahorse,27,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae
Fis-150537,61288,Trichocottus,brashnikovi,Hairhead sculpin,11,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae
Fis-150539,61289,Ricuzenius,pinetorum,,18,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae
Fis-150540,61290,Alcichthys,elongatus,,32,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae
Fis-150559,61300,Paraplotosus,muelleri,Kimberley catfish,23,Animalia,Chordata,Actinopterygii,Siluriformes,Plotosidae
Fis-150561,61301,Paraplotosus,butleri,,52,Animalia,Chordata,Actinopterygii,Siluriformes,Plotosidae
Fis-150601,61311,Mugilogobius,notospilus,Freshwater mangrovegoby,28,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-150609,61314,Gobiopsis,malekulae,Striped barbelgoby,10,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-150611,61315,Phyllogobius,platycephalops,Slender spongegoby,19,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-150627,61321,Lythrypnus,brasiliensis,,11,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-150639,61325,Tryssogobius,colini,Colin's fairygoby,13,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-150651,61329,Eviota,indica,Indian dwarfgoby,14,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-150674,61334,Cabillus,macrophthalmus,Bigeye cabillus,18,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-150746,61357,Lile,nigrofasciata,Blackstripe herring,16,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae
Fis-150754,61362,Helicolenus,mouchezi,Rosefish,16,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae
Fis-150762,61365,Hyporhamphus,naos,Pacific silverstripe halfbeak,60,Animalia,Chordata,Actinopterygii,Beloniformes,Hemiramphidae
Fis-150774,61370,Myripristis,earlei,Earle's soldierfish,18,Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae
Fis-150910,61396,Canthigaster,natalensis,Natal toby,12,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae
Fis-150917,61398,Histiobranchus,australis,,21,Animalia,Chordata,Actinopterygii,Anguilliformes,Synaphobranchidae
Fis-150922,61399,Astronesthes,ijimai,Ijima's snaggletooth,24,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-150929,61403,Diaphus,sagamiensis,,11,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae
Fis-150932,61404,Gobiodon,ceramensis,Ceram coralgoby,13,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-151087,61431,Trimma,annosum,Grey-bearded pygmygoby,109,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-151217,61467,Ambassis,ambassis,Commerson's glassy,61,Animalia,Chordata,Actinopterygii,Perciformes,Ambassidae
Fis-151279,61484,Tomicodon,cryptus,,11,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae
Fis-151283,61487,Tomicodon,rupestris,,22,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae
Fis-151410,61522,Pseudoplesiops,wassi,Fleckfin dottyback,33,Animalia,Chordata,Actinopterygii,Perciformes,Pseudochromidae
Fis-164335,61527,Giuris,margaritacea,Snakehead gudgeon,143,Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae
Fis-151435,61536,Pomacentrus,aurifrons,Yellowhead damselfish,12,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae
Fis-151439,61537,Lethrinus,ravus,Drab emperor,40,Animalia,Chordata,Actinopterygii,Perciformes,Lethrinidae
Fis-167271,61606,Ostorhinchus,aroubiensis,,19,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
Fis-151993,61607,Chaetodon,interruptus,Yellow teardrop butterflyfish,43,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae
Fis-152008,61610,Urolophus,neocaledoniensis,,10,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Urolophidae
Fis-152012,61612,Urolophus,piperatus,Coral sea stingaree,15,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Urolophidae
Fis-152044,61620,Eustomias,monodactylus,,11,Animalia,Chordata,Actinopterygii,Stomiiformes,Stomiidae
Fis-152091,61637,Symphurus,bathyspilus,,19,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Cynoglossidae
