SpeciesID,SpecCode,Genus,Species,FBname,OccurCells,Kingdom,Phylum,Class,Order,Family
Fis-22769,59,Symphodus,melops,Corkwing wrasse,293,Animalia,Chordata,Actinopterygii,Perciformes,Labridae
Fis-22751,60,Crystallogobius,linearis,Crystal goby,189,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-22752,61,Ctenolabrus,rupestris,Goldsinny-wrasse,369,Animalia,Chordata,Actinopterygii,Perciformes,Labridae
Fis-29361,62,Cyclopterus,lumpus,Lumpfish,1624,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cyclopteridae
Fis-22755,63,Dicentrarchus,labrax,European seabass,374,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae
Fis-62865,65,Echiodon,drummondii,,38,Animalia,Chordata,Actinopterygii,Ophidiiformes,Carapidae
Fis-22756,66,Engraulis,encrasicolus,European anchovy,863,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae
Fis-22757,67,Entelurus,aequoreus,Snake pipefish,632,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae
Fis-22760,68,Eutrigla,gurnardus,Grey gurnard,956,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae
Fis-29394,69,Gadus,morhua,Atlantic cod,2171,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae
Fis-22744,71,Caranx,hippos,Crevalle jack,644,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae
Fis-29403,72,Gobius,niger,Black goby,422,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-29404,73,Gobius,paganellus,Rock goby,223,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-22761,74,Gobiusculus,flavescens,Two-spotted goby,239,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae
Fis-22762,75,Gymnammodytes,semisquamatus,Smooth sandeel,62,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae
Fis-22764,76,Helicolenus,dactylopterus,Blackbelly rosefish,1241,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae
Fis-22766,77,Istiophorus,platypterus,Indo-Pacific sailfish,4424,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae
Fis-22765,78,Istiophorus,albicans,Atlantic sailfish,561,Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae
Fis-22748,80,Chanos,chanos,Milkfish,358,Animalia,Chordata,Actinopterygii,Gonorynchiformes,Chanidae
Fis-22737,81,Aphareus,furca,Small toothed jobfish,328,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29276,83,Aphareus,rutilans,Rusty jobfish,221,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29278,84,Aprion,virescens,Green jobfish,444,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22219,85,Apsilus,dentatus,Black snapper,62,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29288,86,Apsilus,fuscus,African forktail snapper,98,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-29375,87,Etelis,carbunculus,Deep-water red snapper,239,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae
Fis-22768,88,Lamna,nasus,Porbeagle,547,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae
Fis-22735,89,Acanthocybium,solandri,Wahoo,11296,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22747,90,Cetorhinus,maximus,Basking shark,834,Animalia,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae
Fis-29265,91,Allothunnus,fallai,Slender tuna,64,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22736,92,Acanthostracion,quadricornis,Scrawled cowfish,439,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae
Fis-22738,93,Auxis,rochei,Bullet tuna,511,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22739,94,Auxis,thazard,Frigate tuna,1054,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22754,95,Cybiosarda,elegans,Leaping bonito,62,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22758,96,Euthynnus,affinis,Kawakawa,500,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22759,97,Euthynnus,alletteratus,Little tunny,394,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29391,98,Euthynnus,lineatus,Black skipjack,159,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29263,99,Alepisaurus,ferox,Long snouted lancetfish,1405,Animalia,Chordata,Actinopterygii,Aulopiformes,Alepisauridae
Fis-29402,100,Gasterochisma,melampus,Butterfly kingfish,82,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22770,101,Alosa,alosa,Allis shad,243,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae
Fis-22773,102,Conger,esculentus,Grey conger,39,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae
Fis-21661,103,Grammatorcynus,bicarinatus,Shark mackerel,65,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-21662,104,Grammatorcynus,bilineatus,Double-lined mackerel,93,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-2,105,Alosa,immaculata,Pontic shad,11,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae
Fis-22776,106,Gymnosarda,unicolor,Dogtooth tuna,273,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22777,107,Katsuwonus,pelamis,Skipjack tuna,6794,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22805,108,Orcynopsis,unicolor,Plain bonito,111,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22812,109,Rastrelliger,brachysoma,Short mackerel,106,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29499,110,Rastrelliger,faughni,Island mackerel,46,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22813,111,Rastrelliger,kanagurta,Indian mackerel,619,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22815,112,Sarda,australis,Australian bonito,60,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-21631,113,Sarda,chiliensis,Eastern Pacific bonito,24,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22817,114,Sarda,orientalis,Striped bonito,193,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22818,115,Sarda,sarda,Atlantic bonito,726,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29506,116,Scomber,australasicus,Blue mackerel,464,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29507,117,Scomber,japonicus,Chub mackerel,381,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29508,118,Scomber,scombrus,Atlantic mackerel,2047,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-29509,119,Scomberomorus,brasiliensis,Serra Spanish mackerel,64,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22819,120,Scomberomorus,cavalla,King mackerel,388,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22820,121,Scomberomorus,commerson,Narrow-barred Spanish mackerel,573,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
Fis-22821,122,Scomberomorus,concolor,Monterey Spanish mackerel,19,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae
